"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login en Sauce Demo","1","0","Usuario válido ingresa al inventario","0"
"0","","0","Login en Sauce Demo","1","0","Login fallido con usuario inválido","0"
