"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6665","Usuario válido ingresa al inventario","","Wed Apr 30 15:15:40 UTC 2025","passed","Wed Apr 30 15:15:47 UTC 2025","","Login en Sauce Demo","Usuario válido ingresa al inventario",""
"","867","Login fallido con usuario inválido","","Wed Apr 30 15:15:47 UTC 2025","passed","Wed Apr 30 15:15:47 UTC 2025","","Login en Sauce Demo","Login fallido con usuario inválido",""
